Longitude,Latitude,Unique Squirrel ID,Shift,Age,Color,Location,Approaches,Indifferent,Runs_from,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail_flags,Tail_twitches
-73.96212979,40.79440582,34A-PM-1013-05,PM,Adult,Cinnamon,Above,FALSE,not,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96501201,40.78059329,20F-PM-1007-13,PM,Juvenile,Cinnamon,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97673891,40.76893237,4D-PM-1008-10,PM,Adult,Cinnamon,Above,TRUE,not,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97026765,40.77621269,13E-AM-1017-05,AM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97161471,40.7813911,18A-PM-1018-01,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95796459,40.79186135,34F-AM-1007-01,AM,Adult,Gray,Above,FALSE,not,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95959332,40.79058473,32E-AM-1007-13,AM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96022221,40.7937797,35C-AM-1007-05,AM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96660079,40.78450981,23C-PM-1014-03,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96884545,40.78453013,22A-AM-1008-05,AM,Adult,Gray,Above,FALSE,not,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.96764105,40.77660435,15G-PM-1019-05,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97087261,40.7723572,10F-AM-1007-02,AM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97302779,40.77121455,7F-AM-1008-16,AM,Juvenile,Gray,Above,FALSE,not,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97615925,40.77472136,10A-AM-1006-04,AM,Juvenile,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.95759862,40.79936813,41B-PM-1014-01,PM,Adult,Gray,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97113188,40.77019416,7G-AM-1010-02,AM,Adult,Gray,Above,FALSE,not,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.97632434,40.77054093,5C-PM-1010-13,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97001006,40.781574,19B-PM-1018-01,PM,Adult,Gray,Above,FALSE,not,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95720938,40.79884873,41B-AM-1010-06,AM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97921555,40.76937118,3B-PM-1007-11,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96941681,40.77288774,11G-PM-1013-01,PM,Adult,Gray,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97824171,40.7724665,7A-AM-1006-01,AM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
-73.97307506,40.77013042,6F-PM-1008-01,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.957659,40.79727519,39C-PM-1006-02,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97456914,40.77710356,13A-PM-1014-03,PM,Adult,Gray,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95884684,40.79638523,38B-AM-1019-05,AM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
-73.96388372,40.78097479,21G-AM-1014-07,AM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96718161,40.77877523,17F-PM-1020-03,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97756817,40.76764212,2D-AM-1007-03,AM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97241624,40.77142602,8F-PM-1012-04,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96789566,40.77674096,15F-PM-1010-07,PM,Adult,Gray,Above,FALSE,not,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97517294,40.77432841,10B-PM-1014-02,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.95343334,40.79325642,37H-AM-1018-03,AM,Adult,Gray,Above,FALSE,not,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
-73.97843612,40.77247692,6A-AM-1006-06,AM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
-73.96612629,40.78440856,23D-AM-1013-01,AM,Adult,Gray,Above,TRUE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96194119,40.79235366,33B-PM-1010-11,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95473367,40.79389378,37G-PM-1007-07,PM,Adult,Gray,Above,FALSE,not,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96796613,40.78373884,22C-AM-1013-01,AM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96897001,40.77751696,15E-PM-1008-05,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
-73.95787796,40.79341165,35E-PM-1006-06,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.9545799,40.7908084,34I-PM-1010-01,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95448101,40.79544697,39F-PM-1006-03,PM,Adult,Gray,Above,FALSE,not,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97823514,40.77158967,6A-AM-1006-03,AM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
-73.95831019,40.78526493,27I-PM-1020-05,PM,Adult,Gray,Above,FALSE,not,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97031617,40.77026105,8H-PM-1014-05,PM,Juvenile,Gray,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.9566751,40.79903579,41C-PM-1007-04,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96720546,40.78765199,26A-PM-1006-05,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.96236961,40.79218486,32B-AM-1017-04,AM,Adult,Gray,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96735485,40.77656691,15G-PM-1019-11,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.9640801,40.79078986,30B-AM-1007-02,AM,Adult,Gray,Above,FALSE,not,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97813039,40.77250003,7A-AM-1006-02,AM,Adult,Gray,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.9556818,40.788852,32I-AM-1013-02,AM,Juvenile,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97931628,40.76921347,3B-PM-1007-01,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95783165,40.7890103,31G-PM-1007-01,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.97198882,40.76676817,4I-PM-1007-03,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.9658621,40.78259269,22D-PM-1012-01,PM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
-73.97044852,40.77172906,9G-AM-1007-02,AM,Adult,Gray,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95584747,40.79133355,34H-AM-1007-01,AM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
-73.97429734,40.76918016,5F-AM-1007-04,AM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96909682,40.76992327,8I-AM-1006-08,AM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
-73.96412933,40.7907654,30B-AM-1007-03,AM,Adult,Gray,Above,FALSE,not,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95484307,40.79820735,41E-AM-1007-06,AM,Adult,Gray,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96385908,40.77767821,18I-AM-1017-02,AM,Adult,Gray,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.96472842,40.78396118,23E-PM-1006-01,PM,Adult,Gray,Above,FALSE,not,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
