animal_id	animal_type	animal_breed	month	year	census_tract	council_district	intake_type	intake_date	outcome_type	outcome_date	chip_status	animal_origin
1681	DOG	LABRADOR RETR	JUL	2017	9000	5	STRAY	7/17/2017	ADOPTION	7/24/2017	SCAN NO CHIP	OVER THE COUNTER
1682	CAT	DOMESTIC SH	DEC	2016	13105	11	OWNER SURRENDER	12/19/2016	ADOPTION	12/23/2016	SCAN NO CHIP	OVER THE COUNTER
1683	DOG	ANATOL SHEPHERD	JAN	2017	5902	4	STRAY	1/29/2017	ADOPTION	2/7/2017	SCAN NO CHIP	OVER THE COUNTER
1684	DOG	LABRADOR RETR	AUG	2017	10601	6	FOSTER	8/26/2017	TRANSFER	9/2/2017	SCAN NO CHIP	FIELD
1685	DOG	COLLIE SMOOTH	JUL	2017	9301	5	OWNER SURRENDER	7/26/2017	EUTHANIZED	7/26/2017	SCAN CHIP	OVER THE COUNTER
1686	CAT	DOMESTIC SH	NOV	2016	2701	7	OWNER SURRENDER	11/29/2016	TRANSFER	12/3/2016	SCAN NO CHIP	OVER THE COUNTER
1687	DOG	PIT BULL	JAN	2017	13004	10	STRAY	1/14/2017	RETURNED TO OWNER	1/19/2017	SCAN CHIP	FIELD
1688	CAT	DOMESTIC SH	APR	2017	20500	6	STRAY	4/26/2017	TRANSFER	4/30/2017	SCAN NO CHIP	OVER THE COUNTER
1689	DOG	CHIHUAHUA SH	JUN	2017	7302	13	STRAY	6/23/2017	ADOPTION	6/29/2017	SCAN NO CHIP	OVER THE COUNTER
1690	DOG	GERM SHEPHERD	SEP	2017	17102	8	OWNER SURRENDER	9/7/2017	TRANSFER	9/23/2017	SCAN NO CHIP	FIELD
1691	DOG	PIT BULL	AUG	2017	5700	4	OWNER SURRENDER	8/14/2017	EUTHANIZED	8/15/2017	SCAN NO CHIP	FIELD
1692	DOG	CATAHOULA	AUG	2017	5000	1	STRAY	8/28/2017	TRANSFER	9/1/2017	SCAN NO CHIP	OVER THE COUNTER
1693	CAT	DOMESTIC SH	OCT	2016	9610	6	OWNER SURRENDER	10/21/2016	ADOPTION	10/28/2016	SCAN NO CHIP	OVER THE COUNTER
1694	DOG	WELSH CORGI CAR	JUN	2017	10804	3	OWNER SURRENDER	6/12/2017	TRANSFER	6/16/2017	SCAN NO CHIP	FIELD
1695	DOG	DACHSHUND	OCT	2016	11701	5	STRAY	10/30/2016	TRANSFER	11/3/2016	SCAN NO CHIP	FIELD
1696	DOG	AUST CATTLE DOG	NOV	2016	7805	10	OWNER SURRENDER	11/18/2016	ADOPTION	11/25/2016	SCAN NO CHIP	FIELD
1697	DOG	PIT BULL	MAY	2017	2701	7	STRAY	5/7/2017	EUTHANIZED	5/14/2017	SCAN NO CHIP	FIELD
1698	CAT	DOMESTIC SH	NOV	2016	10703	6	STRAY	11/14/2016	FOSTER	11/14/2016	SCAN NO CHIP	OVER THE COUNTER
1699	DOG	GERM SHEPHERD	JUL	2017	11800	5	STRAY	7/13/2017	EUTHANIZED	7/17/2017	SCAN NO CHIP	SWEEP
1700	DOG	CHIHUAHUA SH	MAR	2017	21635	12	OWNER SURRENDER	3/30/2017	TRANSFER	4/3/2017	SCAN NO CHIP	OVER THE COUNTER
1701	DOG	CHIHUAHUA SH	MAY	2017	5700	4	STRAY	5/15/2017	RETURNED TO OWNER	5/15/2017	SCAN NO CHIP	SWEEP
1702	DOG	BULL TERRIER	DEC	2016	NA	NA	LOST REPORT	12/31/2016	LOST REPORT	1/21/2017	UNABLE TO SCAN	OVER THE COUNTER
1703	DOG	ROTTWEILER	AUG	2017	12000	7	STRAY	8/4/2017	RETURNED TO OWNER	8/5/2017	SCAN CHIP	FIELD
1704	CAT	DOMESTIC SH	APR	2017	9202	5	STRAY	4/25/2017	EUTHANIZED	4/25/2017	SCAN NO CHIP	FIELD
1705	DOG	CHIHUAHUA SH	JAN	2017	5000	1	OWNER SURRENDER	1/27/2017	ADOPTION	2/1/2017	SCAN NO CHIP	OVER THE COUNTER
