animal_id	animal_type	animal_breed	month	year	census_tract	council_district	intake_type	intake_date	outcome_type	outcome_date	chip_status	animal_origin
12563	CAT	DOMESTIC SH	MAY	2017	13011	10	OWNER SURRENDER	5/23/2017	ADOPTION	6/1/2017	SCAN NO CHIP	OVER THE COUNTER
12564	DOG	LABRADOR RETR	FEB	2017	10801	3	STRAY	2/2/2017	ADOPTION	2/12/2017	SCAN NO CHIP	OVER THE COUNTER
12565	DOG	PIT BULL	DEC	2016	9611	13	STRAY	12/30/2016	EUTHANIZED	1/15/2017	UNABLE TO SCAN	FIELD
12566	DOG	GERM SHEPHERD	JUL	2017	17102	8	STRAY	7/25/2017	EUTHANIZED	8/6/2017	SCAN NO CHIP	FIELD
12567	CAT	DOMESTIC SH	OCT	2016	5200	1	CONFISCATED	10/18/2016	EUTHANIZED	10/30/2016	SCAN CHIP	OVER THE COUNTER
12568	DOG	GR SWISS MTN	NOV	2016	20500	6	FOSTER	11/26/2016	ADOPTION	11/26/2016	SCAN CHIP	OVER THE COUNTER
12569	DOG	GERM SHEPHERD	JUN	2017	11200	3	OWNER SURRENDER	6/26/2017	ADOPTION	6/29/2017	SCAN CHIP	FIELD
12570	DOG	LABRADOR RETR	APR	2017	75229	29	LOST REPORT	4/11/2017	LOST REPORT	4/23/2017	UNABLE TO SCAN	OVER THE COUNTER
12571	DOG	CHINESE SHARPEI	DEC	2016	7805	10	STRAY	12/29/2016	EUTHANIZED	12/29/2016	SCAN NO CHIP	OVER THE COUNTER
12572	CAT	DOMESTIC SH	AUG	2017	20500	6	FOSTER	8/19/2017	ADOPTION	8/19/2017	SCAN NO CHIP	OVER THE COUNTER
12573	DOG	PIT BULL	OCT	2016	16703	8	STRAY	10/28/2016	TRANSFER	10/31/2016	SCAN NO CHIP	OVER THE COUNTER
12574	DOG	CHIHUAHUA SH	MAY	2017	8400	5	STRAY	5/5/2017	TRANSFER	5/11/2017	SCAN NO CHIP	SWEEP
12575	DOG	ROTTWEILER	OCT	2016	8801	4	OWNER SURRENDER	10/8/2016	EUTHANIZED	10/8/2016	SCAN NO CHIP	OVER THE COUNTER
12576	DOG	PIT BULL	APR	2017	75217	17	LOST REPORT	4/20/2017	LOST REPORT	5/1/2017	UNABLE TO SCAN	OVER THE COUNTER
12577	CAT	DOMESTIC SH	APR	2017	17102	8	STRAY	4/25/2017	EUTHANIZED	4/25/2017	SCAN NO CHIP	FIELD
12578	DOG	CHIHUAHUA LH	FEB	2017	FARMER	ET	FOUND REPORT	2/28/2017	FOUND REPORT	3/14/2017	UNABLE TO SCAN	OVER THE COUNTER
12579	DOG	CHIHUAHUA SH	SEP	2017	20400	2	CONFISCATED	9/6/2017	TRANSFER	9/6/2017	SCAN NO CHIP	FIELD
12580	DOG	PIT BULL	NOV	2016	6302	1	STRAY	11/1/2016	EUTHANIZED	11/5/2016	SCAN NO CHIP	OVER THE COUNTER
12581	DOG	CHIHUAHUA SH	MAY	2017	9301	5	STRAY	5/3/2017	RETURNED TO OWNER	5/3/2017	SCAN NO CHIP	SWEEP
12582	CAT	DOMESTIC SH	APR	2017	19212	11	STRAY	4/19/2017	ADOPTION	5/4/2017	SCAN NO CHIP	OVER THE COUNTER
12583	DOG	PIT BULL	JAN	2017	2701	7	STRAY	1/17/2017	ADOPTION	2/7/2017	SCAN NO CHIP	FIELD
12584	DOG	ROTTWEILER	JAN	2017	4800	4	OWNER SURRENDER	1/27/2017	ADOPTION	1/28/2017	SCAN NO CHIP	OVER THE COUNTER
12585	DOG	POMERANIAN	MAY	2017	9301	5	STRAY	5/3/2017	RETURNED TO OWNER	5/3/2017	SCAN NO CHIP	SWEEP
12586	DOG	PIT BULL	MAR	2017	8400	5	STRAY	3/5/2017	ADOPTION	3/15/2017	SCAN NO CHIP	FIELD
12587	DOG	LABRADOR RETR	AUG	2017	11001	3	STRAY	8/1/2017	EUTHANIZED	8/13/2017	SCAN NO CHIP	FIELD
12588	DOG	SHIH TZU	APR	2017	20500	6	OWNER SURRENDER	4/30/2017	ADOPTION	5/2/2017	SCAN CHIP	OVER THE COUNTER
12589	DOG	POMERANIAN	SEP	2017	4300	6	OWNER SURRENDER	9/2/2017	ADOPTION	9/6/2017	SCAN NO CHIP	OVER THE COUNTER
12590	CAT	DOMESTIC SH	APR	2017	5700	4	OWNER SURRENDER	4/28/2017	EUTHANIZED	4/30/2017	SCAN NO CHIP	FIELD
12591	DOG	CHIHUAHUA SH	MAR	2017	5300	1	STRAY	3/20/2017	RETURNED TO OWNER	3/22/2017	SCAN NO CHIP	SWEEP
12592	DOG	PIT BULL	APR	2017	3400	7	STRAY	4/4/2017	EUTHANIZED	4/20/2017	SCAN NO CHIP	FIELD
12593	DOG	CHIHUAHUA SH	NOV	2016	2500	2	OWNER SURRENDER	11/23/2016	ADOPTION	11/28/2016	SCAN NO CHIP	SWEEP
12594	DOG	CAIRN TERRIER	JAN	2017	16520	3	STRAY	1/21/2017	TRANSFER	1/25/2017	SCAN NO CHIP	OVER THE COUNTER
12595	DOG	PIT BULL	FEB	2017	5400	4	STRAY	2/17/2017	TRANSFER	3/6/2017	SCAN NO CHIP	SWEEP
12596	DOG	CHIHUAHUA SH	SEP	2017	17004	8	STRAY	9/13/2017	RETURNED TO OWNER	9/13/2017	SCAN NO CHIP	SWEEP
12597	CAT	DOMESTIC SH	JUN	2017	6700	3	STRAY	6/12/2017	TRANSFER	6/19/2017	SCAN NO CHIP	OVER THE COUNTER
12598	DOG	LABRADOR RETR	MAY	2017	20500	6	STRAY	5/1/2017	EUTHANIZED	5/5/2017	SCAN NO CHIP	OVER THE COUNTER
12599	DOG	CHIHUAHUA SH	JUN	2017	406	6	STRAY	6/21/2017	ADOPTION	7/3/2017	SCAN CHIP	OVER THE COUNTER
12600	CAT	DOMESTIC LH	JUN	2017	12800	9	STRAY	6/9/2017	TRANSFER	6/13/2017	SCAN NO CHIP	FIELD
12601	CAT	DOMESTIC SH	JUL	2017	5400	4	STRAY	7/12/2017	EUTHANIZED	7/12/2017	SCAN NO CHIP	OVER THE COUNTER
12602	DOG	CHIHUAHUA SH	AUG	2017	9701	13	OWNER SURRENDER	8/5/2017	TRANSFER	8/13/2017	SCAN NO CHIP	OVER THE COUNTER
12603	DOG	LABRADOR RETR	SEP	2017	11602	8	STRAY	9/1/2017	TRANSFER	9/12/2017	SCAN NO CHIP	FIELD
12604	CAT	AMER SH	NOV	2016	9605	6	OWNER SURRENDER	11/10/2016	EUTHANIZED	11/10/2016	SCAN NO CHIP	OVER THE COUNTER
12605	DOG	LABRADOR RETR	JAN	2017	10102	6	OWNER SURRENDER	1/18/2017	ADOPTION	2/11/2017	SCAN NO CHIP	FIELD
12606	CAT	AMER SH	OCT	2016	9301	5	STRAY	10/12/2016	EUTHANIZED	10/12/2016	SCAN NO CHIP	FIELD
12607	DOG	CAIRN TERRIER	DEC	2016	16511	3	STRAY	12/10/2016	TRANSFER	12/14/2016	SCAN NO CHIP	OVER THE COUNTER
12608	DOG	PIT BULL	JUN	2017	10500	6	CONFISCATED	6/19/2017	EUTHANIZED	6/29/2017	SCAN NO CHIP	FIELD
12609	DOG	CHIHUAHUA SH	NOV	2016	8802	4	STRAY	11/12/2016	EUTHANIZED	11/12/2016	SCAN NO CHIP	FIELD
12610	DOG	GERM SHEPHERD	MAY	2017	5901	4	STRAY	5/18/2017	TRANSFER	6/4/2017	SCAN NO CHIP	SWEEP
12611	DOG	SHIH TZU	DEC	2016	8701	4	OWNER SURRENDER	12/19/2016	TRANSFER	1/14/2017	SCAN CHIP	FIELD
12612	DOG	PIT BULL	NOV	2016	16520	3	STRAY	11/2/2016	EUTHANIZED	11/6/2016	SCAN NO CHIP	FIELD
12613	CAT	DOMESTIC SH	APR	2017	2500	2	STRAY	4/23/2017	EUTHANIZED	4/23/2017	SCAN NO CHIP	OVER THE COUNTER
12614	DOG	ROTTWEILER	JAN	2017	4400	1	FOSTER	1/14/2017	ADOPTION	1/14/2017	SCAN NO CHIP	OVER THE COUNTER
12615	DOG	GERM SHEPHERD	OCT	2016	11602	8	STRAY	10/26/2016	TRANSFER	10/31/2016	SCAN NO CHIP	SWEEP
12616	DOG	PAPILLON	MAR	2017	7818	13	OWNER SURRENDER	3/14/2017	ADOPTION	3/18/2017	SCAN NO CHIP	OVER THE COUNTER
12617	CAT	DOMESTIC SH	OCT	2016	5600	4	STRAY	10/13/2016	ADOPTION	10/26/2016	SCAN NO CHIP	OVER THE COUNTER
12618	CAT	DOMESTIC SH	OCT	2016	12500	9	OWNER SURRENDER	10/20/2016	ADOPTION	10/22/2016	SCAN NO CHIP	OVER THE COUNTER
12619	DOG	AUST CATTLE DOG	MAR	2017	6200	4	OWNER SURRENDER	3/8/2017	TRANSFER	3/16/2017	SCAN NO CHIP	OVER THE COUNTER
12620	DOG	POODLE MIN	FEB	2017	10801	3	CONFISCATED	2/2/2017	RETURNED TO OWNER	2/11/2017	SCAN NO CHIP	OVER THE COUNTER
12621	DOG	ROTTWEILER	NOV	2016	5400	4	STRAY	11/2/2016	EUTHANIZED	11/6/2016	SCAN NO CHIP	SWEEP
12622	CAT	DOMESTIC SH	SEP	2017	9101	5	STRAY	9/12/2017	FOSTER	9/23/2017	SCAN NO CHIP	FIELD
12623	CAT	DOMESTIC SH	FEB	2017	12603	9	STRAY	2/6/2017	RETURNED TO OWNER	2/8/2017	SCAN CHIP	OVER THE COUNTER
12624	DOG	PIT BULL	SEP	2017	5901	4	OWNER SURRENDER	9/13/2017	ADOPTION	9/21/2017	SCAN NO CHIP	FIELD
12625	DOG	PIT BULL	JUL	2017	10801	3	STRAY	7/5/2017	ADOPTION	7/11/2017	SCAN NO CHIP	FIELD
12626	DOG	PIT BULL	MAR	2017	10801	3	STRAY	3/18/2017	EUTHANIZED	3/22/2017	SCAN NO CHIP	FIELD
12627	CAT	DOMESTIC MH	SEP	2017	8500	5	STRAY	9/6/2017	ADOPTION	9/16/2017	SCAN NO CHIP	FIELD
12628	DOG	LABRADOR RETR	AUG	2017	9000	5	STRAY	8/18/2017	TRANSFER	8/23/2017	SCAN NO CHIP	FIELD
12629	DOG	LABRADOR RETR	JUN	2017	4800	4	OWNER SURRENDER	6/5/2017	TRANSFER	6/7/2017	SCAN NO CHIP	OVER THE COUNTER
12630	CAT	DOMESTIC SH	OCT	2016	6402	1	STRAY	10/25/2016	TRANSFER	10/27/2016	SCAN NO CHIP	OVER THE COUNTER
12631	DOG	GERM SHEPHERD	NOV	2016	5902	4	CONFISCATED	11/2/2016	EUTHANIZED	11/19/2016	UNABLE TO SCAN	FIELD
12632	WILDLIFE	RABBIT SH	APR	2017	10602	6	STRAY	4/28/2017	TRANSFER	4/28/2017	SCAN NO CHIP	OVER THE COUNTER
12633	DOG	GERM SHEPHERD	MAR	2017	9201	5	OWNER SURRENDER	3/14/2017	TRANSFER	3/14/2017	SCAN NO CHIP	OVER THE COUNTER
12634	DOG	CHIHUAHUA SH	DEC	2016	12701	9	OWNER SURRENDER	12/13/2016	RETURNED TO OWNER	12/27/2016	SCAN NO CHIP	FIELD
12635	CAT	DOMESTIC SH	APR	2017	9804	6	OWNER SURRENDER	4/9/2017	EUTHANIZED	4/10/2017	SCAN NO CHIP	OVER THE COUNTER
12636	DOG	GERM SHEPHERD	OCT	2016	12601	9	OWNER SURRENDER	10/10/2016	EUTHANIZED	10/10/2016	SCAN NO CHIP	OVER THE COUNTER
12637	DOG	CHIHUAHUA SH	OCT	2016	10701	6	STRAY	10/12/2016	ADOPTION	10/29/2016	SCAN NO CHIP	SWEEP
12638	DOG	LHASA APSO	JAN	2017	10805	3	OWNER SURRENDER	1/30/2017	TRANSFER	1/31/2017	SCAN CHIP	OVER THE COUNTER
12639	DOG	AUST CATTLE DOG	NOV	2016	4100	4	STRAY	11/29/2016	ADOPTION	12/3/2016	SCAN NO CHIP	FIELD
12640	DOG	GERM SHEPHERD	APR	2017	1101	14	OWNER SURRENDER	4/26/2017	EUTHANIZED	4/26/2017	SCAN CHIP	FIELD
12641	DOG	CAIRN TERRIER	OCT	2016	11001	3	STRAY	10/20/2016	EUTHANIZED	10/22/2016	SCAN NO CHIP	OVER THE COUNTER
12642	DOG	PIT BULL	NOV	2016	11701	5	STRAY	11/23/2016	EUTHANIZED	11/28/2016	SCAN NO CHIP	SWEEP
12643	DOG	GERM SHEPHERD	DEC	2016	8701	4	OWNER SURRENDER	12/12/2016	ADOPTION	1/14/2017	SCAN NO CHIP	FIELD
12644	DOG	BORDER COLLIE	JUN	2017	16510	3	OWNER SURRENDER	6/26/2017	ADOPTION	7/5/2017	SCAN NO CHIP	OVER THE COUNTER
12645	CAT	DOMESTIC SH	APR	2017	20500	6	STRAY	4/30/2017	TRANSFER	4/30/2017	SCAN NO CHIP	OVER THE COUNTER
12646	DOG	CHIHUAHUA SH	OCT	2016	3901	7	OWNER SURRENDER	10/8/2016	ADOPTION	10/12/2016	SCAN NO CHIP	FIELD
12647	DOG	PIT BULL	AUG	2017	5300	1	STRAY	8/17/2017	DEAD ON ARRIVAL	8/17/2017	SCAN NO CHIP	FIELD
12648	DOG	CHIHUAHUA SH	APR	2017	6200	1	STRAY	4/3/2017	RETURNED TO OWNER	4/3/2017	SCAN NO CHIP	FIELD
12649	DOG	GERM SH POINT	NOV	2016	5400	4	STRAY	11/10/2016	ADOPTION	12/6/2016	UNABLE TO SCAN	FIELD
12650	DOG	PIT BULL	JAN	2017	8701	4	CONFISCATED	1/19/2017	RETURNED TO OWNER	1/29/2017	SCAN NO CHIP	FIELD
12651	DOG	CHIHUAHUA SH	MAY	2017	9401	2	OWNER SURRENDER	5/1/2017	TRANSFER	5/4/2017	SCAN NO CHIP	OVER THE COUNTER
12652	DOG	PIT BULL	NOV	2016	11601	8	STRAY	11/17/2016	EUTHANIZED	11/21/2016	SCAN NO CHIP	FIELD
12653	DOG	LABRADOR RETR	APR	2017	5200	1	STRAY	4/16/2017	ADOPTION	5/15/2017	SCAN NO CHIP	FIELD
12654	DOG	CHIHUAHUA SH	SEP	2017	13618	12	FOSTER	9/23/2017	ADOPTION	9/26/2017	SCAN NO CHIP	OVER THE COUNTER
12655	DOG	CHIHUAHUA SH	MAY	2017	10601	6	STRAY	5/31/2017	RETURNED TO OWNER	5/31/2017	SCAN NO CHIP	SWEEP
12656	CAT	DOMESTIC SH	JUN	2017	9900	6	STRAY	6/23/2017	EUTHANIZED	6/24/2017	UNABLE TO SCAN	OVER THE COUNTER
12657	DOG	CHIHUAHUA LH	NOV	2016	11401	8	STRAY	11/16/2016	TRANSFER	11/29/2016	SCAN CHIP	SWEEP
12658	CAT	DOMESTIC SH	MAY	2017	2500	7	STRAY	5/27/2017	TRANSFER	5/30/2017	SCAN NO CHIP	FIELD
12659	DOG	PIT BULL	OCT	2016	4500	1	OWNER SURRENDER	10/26/2016	ADOPTION	11/1/2016	SCAN CHIP	OVER THE COUNTER
12660	CAT	DOMESTIC SH	FEB	2017	980100	2	STRAY	2/10/2017	TRANSFER	2/13/2017	UNABLE TO SCAN	FIELD
12661	DOG	GERM SHEPHERD	APR	2017	11601	8	STRAY	4/25/2017	EUTHANIZED	4/30/2017	SCAN NO CHIP	FIELD
12662	CAT	DOMESTIC SH	MAY	2017	8701	4	STRAY	5/20/2017	ADOPTION	6/1/2017	SCAN NO CHIP	OVER THE COUNTER
12663	CAT	DOMESTIC SH	AUG	2017	9104	5	STRAY	8/26/2017	TRANSFER	9/3/2017	SCAN NO CHIP	FIELD
12664	DOG	LABRADOR RETR	DEC	2016	2702	7	STRAY	12/21/2016	EUTHANIZED	12/25/2016	SCAN NO CHIP	FIELD
12665	WILDLIFE	HAMSTER	OCT	2016	20500	6	OWNER SURRENDER	10/4/2016	ADOPTION	10/10/2016	SCAN NO CHIP	OVER THE COUNTER
12666	DOG	SIBERIAN HUSKY	JAN	2017	8703	4	STRAY	1/31/2017	ADOPTION	2/7/2017	SCAN NO CHIP	FIELD
12667	DOG	PIT BULL	NOV	2016	20500	6	OWNER SURRENDER	11/17/2016	RETURNED TO OWNER	11/17/2016	UNABLE TO SCAN	OVER THE COUNTER
12668	DOG	CHIHUAHUA SH	FEB	2017	6700	3	STRAY	2/16/2017	ADOPTION	2/20/2017	SCAN NO CHIP	OVER THE COUNTER
12669	DOG	PIT BULL	DEC	2016	20500	6	OWNER SURRENDER	12/7/2016	ADOPTION	12/11/2016	SCAN CHIP	OVER THE COUNTER
12670	DOG	ROTTWEILER	OCT	2016	11900	5	STRAY	10/23/2016	ADOPTION	11/4/2016	SCAN NO CHIP	FIELD
12671	CAT	DOMESTIC SH	FEB	2017	12900	9	STRAY	2/28/2017	ADOPTION	3/3/2017	SCAN NO CHIP	FIELD
12672	CAT	DOMESTIC SH	JUN	2017	406	2	STRAY	6/26/2017	EUTHANIZED	6/26/2017	SCAN NO CHIP	OVER THE COUNTER
12673	DOG	CHIHUAHUA SH	DEC	2016	6001	4	STRAY	12/18/2016	EUTHANIZED	12/19/2016	SCAN NO CHIP	OVER THE COUNTER
12674	CAT	DOMESTIC SH	MAY	2017	10500	6	CONFISCATED	5/24/2017	EUTHANIZED	5/24/2017	SCAN NO CHIP	FIELD
12675	DOG	PIT BULL	NOV	2016	12000	7	STRAY	11/17/2016	EUTHANIZED	11/26/2016	SCAN NO CHIP	FIELD
12676	DOG	ROTTWEILER	APR	2017	2702	7	STRAY	4/5/2017	EUTHANIZED	4/21/2017	SCAN NO CHIP	FIELD
12677	DOG	LABRADOR RETR	SEP	2017	406	2	STRAY	9/13/2017	RETURNED TO OWNER	9/18/2017	SCAN NO CHIP	FIELD
12678	DOG	LABRADOR RETR	DEC	2016	11401	8	OWNER SURRENDER	12/14/2016	ADOPTION	12/17/2016	SCAN NO CHIP	OVER THE COUNTER
12679	DOG	PIT BULL	FEB	2017	10102	6	OWNER SURRENDER	2/17/2017	EUTHANIZED	2/17/2017	SCAN NO CHIP	OVER THE COUNTER
12680	DOG	LABRADOR RETR	NOV	2016	9000	5	OWNER SURRENDER	11/26/2016	EUTHANIZED	11/26/2016	SCAN NO CHIP	FIELD
12681	DOG	PIT BULL	JAN	2017	2701	7	STRAY	1/12/2017	EUTHANIZED	1/22/2017	UNABLE TO SCAN	FIELD
12682	DOG	CHIHUAHUA SH	MAY	2017	7102	2	OWNER SURRENDER	5/25/2017	ADOPTION	5/27/2017	SCAN NO CHIP	OVER THE COUNTER
12683	CAT	DOMESTIC SH	MAY	2017	13626	11	OWNER SURRENDER	5/8/2017	ADOPTION	5/18/2017	SCAN NO CHIP	OVER THE COUNTER
12684	DOG	PIT BULL	JUL	2017	5300	1	STRAY	7/26/2017	EUTHANIZED	7/26/2017	SCAN NO CHIP	OVER THE COUNTER
12685	DOG	PIT BULL	AUG	2017	9101	5	STRAY	8/27/2017	TRANSFER	8/28/2017	SCAN NO CHIP	OVER THE COUNTER
12686	DOG	CHIHUAHUA SH	APR	2017	8604	4	OWNER SURRENDER	4/17/2017	TRANSFER	4/21/2017	SCAN CHIP	OVER THE COUNTER
12687	CAT	DOMESTIC SH	OCT	2016	2000	1	STRAY	10/20/2016	TRANSFER	10/24/2016	SCAN NO CHIP	OVER THE COUNTER
12688	BIRD	TURKEY	JUN	2017	4300	6	WILDLIFE	6/7/2017	WILDLIFE	6/7/2017	SCAN NO CHIP	SWEEP
12689	DOG	CHIHUAHUA SH	APR	2017	4800	1	OWNER SURRENDER	4/24/2017	ADOPTION	4/29/2017	SCAN NO CHIP	OVER THE COUNTER
12690	CAT	DOMESTIC SH	JUL	2017	9104	5	STRAY	7/15/2017	EUTHANIZED	7/23/2017	SCAN NO CHIP	OVER THE COUNTER
12691	DOG	FRENCH BULLDOG	MAR	2017	NA	NA	FOUND REPORT	3/4/2017	FOUND REPORT	3/15/2017	SCAN CHIP	OVER THE COUNTER
12692	DOG	CHIHUAHUA SH	OCT	2016	12800	9	OWNER SURRENDER	10/2/2016	ADOPTION	10/5/2016	SCAN NO CHIP	OVER THE COUNTER
12693	DOG	LABRADOR RETR	OCT	2016	17101	8	STRAY	10/21/2016	ADOPTION	11/15/2016	SCAN NO CHIP	OVER THE COUNTER
12694	DOG	PIT BULL	SEP	2017	20500	6	OWNER SURRENDER	9/8/2017	EUTHANIZED	9/9/2017	SCAN NO CHIP	FIELD
12695	DOG	CAIRN TERRIER	OCT	2016	20500	6	STRAY	10/24/2016	ADOPTION	10/31/2016	SCAN NO CHIP	OVER THE COUNTER
12696	CAT	DOMESTIC SH	JUL	2017	11103	3	STRAY	7/19/2017	EUTHANIZED	7/19/2017	SCAN NO CHIP	OVER THE COUNTER
12697	DOG	GERM SHEPHERD	FEB	2017	6700	1	STRAY	2/1/2017	ADOPTION	2/6/2017	SCAN NO CHIP	FIELD
12698	DOG	DACHSHUND	FEB	2017	4700	1	STRAY	2/25/2017	ADOPTION	3/2/2017	SCAN NO CHIP	OVER THE COUNTER
12699	CAT	DOMESTIC SH	SEP	2017	11300	8	OWNER SURRENDER	9/30/2017	FOSTER	10/2/2017	SCAN NO CHIP	OVER THE COUNTER
12700	DOG	PIT BULL	NOV	2016	4900	4	STRAY	11/22/2016	EUTHANIZED	11/24/2016	SCAN CHIP	FIELD
12701	DOG	GOLDEN RETR	AUG	2017	12500	9	STRAY	8/13/2017	RETURNED TO OWNER	8/14/2017	SCAN NO CHIP	FIELD
12702	CAT	DOMESTIC SH	JUL	2017	11601	8	STRAY	7/3/2017	DIED	7/6/2017	SCAN NO CHIP	FIELD
12703	DOG	PIT BULL	DEC	2016	20500	6	OWNER SURRENDER	12/23/2016	ADOPTION	12/23/2016	SCAN CHIP	OVER THE COUNTER
12704	DOG	CHIHUAHUA SH	MAR	2017	5500	4	OWNER SURRENDER	3/22/2017	ADOPTION	4/15/2017	SCAN CHIP	OVER THE COUNTER
12705	DOG	REDBONE HOUND	JUL	2017	20500	6	OWNER SURRENDER	7/2/2017	ADOPTION	7/4/2017	SCAN CHIP	OVER THE COUNTER
12706	DOG	GERM SHEPHERD	JAN	2017	9101	5	OWNER SURRENDER	1/17/2017	ADOPTION	1/29/2017	SCAN NO CHIP	OVER THE COUNTER
12707	DOG	CHIHUAHUA SH	MAR	2017	3700	7	CONFISCATED	3/27/2017	EUTHANIZED	4/10/2017	SCAN NO CHIP	FIELD
12708	DOG	CHIHUAHUA SH	MAY	2017	10805	3	OWNER SURRENDER	5/24/2017	ADOPTION	5/29/2017	SCAN NO CHIP	FIELD
12709	DOG	LABRADOR RETR	DEC	2016	2000	1	OWNER SURRENDER	12/20/2016	EUTHANIZED	12/21/2016	SCAN NO CHIP	FIELD
12710	DOG	CAIRN TERRIER	OCT	2016	9201	5	STRAY	10/26/2016	TRANSFER	10/26/2016	SCAN NO CHIP	OVER THE COUNTER
12711	DOG	LABRADOR RETR	NOV	2016	6001	4	OWNER SURRENDER	11/7/2016	ADOPTION	11/26/2016	SCAN NO CHIP	OVER THE COUNTER
12712	DOG	CHIHUAHUA SH	JUN	2017	12601	9	OWNER SURRENDER	6/20/2017	TRANSFER	6/26/2017	SCAN NO CHIP	OVER THE COUNTER
12713	DOG	BORDER TERRIER	MAR	2017	4500	1	OWNER SURRENDER	3/12/2017	ADOPTION	3/21/2017	SCAN NO CHIP	FIELD
12714	CAT	DOMESTIC SH	AUG	2017	9401	6	STRAY	8/27/2017	EUTHANIZED	8/27/2017	SCAN NO CHIP	OVER THE COUNTER
12715	DOG	GREAT DANE	NOV	2016	10000	2	OWNER SURRENDER	11/9/2016	TRANSFER	11/10/2016	SCAN CHIP	OVER THE COUNTER
12716	DOG	BOXER	MAR	2017	9301	5	STRAY	3/4/2017	RETURNED TO OWNER	3/6/2017	SCAN NO CHIP	SWEEP
12717	DOG	LABRADOR RETR	FEB	2017	17101	8	STRAY	2/16/2017	TRANSFER	3/16/2017	SCAN NO CHIP	FIELD
12718	CAT	DOMESTIC SH	DEC	2016	11401	8	OWNER SURRENDER	12/2/2016	ADOPTION	12/6/2016	SCAN NO CHIP	OVER THE COUNTER
12719	DOG	LABRADOR RETR	JAN	2017	1101	14	OWNER SURRENDER	1/10/2017	EUTHANIZED	1/10/2017	SCAN NO CHIP	OVER THE COUNTER
12720	DOG	LABRADOR RETR	MAR	2017	11401	8	STRAY	3/23/2017	DIED	3/24/2017	SCAN NO CHIP	FIELD
12721	DOG	AMERICAN STAFF	OCT	2016	16605	8	OWNER SURRENDER	10/22/2016	ADOPTION	10/22/2016	SCAN CHIP	OVER THE COUNTER
12722	DOG	LABRADOR RETR	DEC	2016	20500	6	STRAY	12/19/2016	ADOPTION	12/23/2016	SCAN NO CHIP	OVER THE COUNTER
12723	DOG	POODLE MIN	DEC	2016	20500	6	STRAY	12/1/2016	TRANSFER	12/8/2016	SCAN NO CHIP	OVER THE COUNTER
12724	DOG	PIT BULL	JAN	2017	5400	4	STRAY	1/30/2017	DIED	1/30/2017	SCAN NO CHIP	FIELD
12725	DOG	ENG FOXHOUND	OCT	2016	17001	8	STRAY	10/17/2016	ADOPTION	10/21/2016	SCAN NO CHIP	FIELD
12726	DOG	PIT BULL	APR	2017	20500	6	STRAY	4/13/2017	EUTHANIZED	4/18/2017	SCAN CHIP	FIELD
12727	DOG	DALMATIAN	MAY	2017	10102	6	STRAY	5/9/2017	ADOPTION	5/15/2017	SCAN NO CHIP	OVER THE COUNTER
12728	CAT	SIAMESE	MAR	2017	6200	1	OWNER SURRENDER	3/3/2017	EUTHANIZED	3/3/2017	SCAN CHIP	OVER THE COUNTER
12729	DOG	SCHNAUZER MIN	APR	2017	4500	1	STRAY	4/5/2017	RETURNED TO OWNER	4/5/2017	SCAN NO CHIP	SWEEP
12730	DOG	BOXER	MAR	2017	6800	1	STRAY	3/7/2017	ADOPTION	3/13/2017	SCAN NO CHIP	FIELD
12731	DOG	GERM SHEPHERD	MAY	2017	7102	2	OWNER SURRENDER	5/15/2017	ADOPTION	5/22/2017	SCAN NO CHIP	FIELD
12732	DOG	PIT BULL	OCT	2016	8801	4	OWNER SURRENDER	10/1/2016	ADOPTION	10/7/2016	SCAN NO CHIP	OVER THE COUNTER
12733	DOG	DALMATIAN	OCT	2016	4500	1	STRAY	10/10/2016	EUTHANIZED	11/2/2016	SCAN NO CHIP	OVER THE COUNTER
12734	DOG	ROTTWEILER	JUN	2017	12000	7	OWNER SURRENDER	6/15/2017	EUTHANIZED	6/25/2017	SCAN NO CHIP	OVER THE COUNTER
12735	DOG	PIT BULL	SEP	2017	10701	6	OWNER SURRENDER	9/30/2017	EUTHANIZED	10/1/2017	SCAN NO CHIP	OVER THE COUNTER
12736	DOG	LABRADOR RETR	JUN	2017	11401	8	OWNER SURRENDER	6/6/2017	EUTHANIZED	6/9/2017	SCAN CHIP	FIELD
12737	CAT	DOMESTIC SH	AUG	2017	12500	9	OWNER SURRENDER	8/31/2017	TRANSFER	9/5/2017	SCAN NO CHIP	OVER THE COUNTER
12738	CAT	DOMESTIC SH	DEC	2016	8802	4	STRAY	12/28/2016	ADOPTION	1/2/2017	SCAN NO CHIP	OVER THE COUNTER
12739	DOG	PIT BULL	DEC	2016	8703	4	STRAY	12/5/2016	RETURNED TO OWNER	12/8/2016	SCAN NO CHIP	FIELD
12740	DOG	AUST SHEPHERD	MAY	2017	10101	6	OWNER SURRENDER	5/13/2017	EUTHANIZED	5/20/2017	SCAN CHIP	OVER THE COUNTER
12741	DOG	BORDER COLLIE	OCT	2016	7812	10	STRAY	10/25/2016	RETURNED TO OWNER	10/25/2016	SCAN NO CHIP	FIELD
12742	DOG	AMERICAN STAFF	SEP	2017	4500	1	STRAY	9/5/2017	TRANSFER	9/5/2017	SCAN NO CHIP	OVER THE COUNTER
12743	CAT	DOMESTIC SH	APR	2017	6501	1	STRAY	4/7/2017	TRANSFER	4/7/2017	SCAN NO CHIP	OVER THE COUNTER
