year,brand,funny,patriotic,celebrity,danger,animals,views,likes,dislikes,superbowl_ads_dot_com_url,youtube_url
2009,Coca-Cola,TRUE,FALSE,FALSE,FALSE,TRUE,1452877,3511,296,https://superbowl-ads.com/2009-coca-cola-avatar/,https://www.youtube.com/watch?v=Kwke0LNardc
2014,Toyota,TRUE,FALSE,TRUE,FALSE,TRUE,25834,140,5,https://superbowl-ads.com/2014-toyota-highlander-no-room-for-boring/,https://www.youtube.com/watch?v=b01P9PaaoLk
2009,Bud Light,TRUE,FALSE,FALSE,TRUE,FALSE,30123,33,2,https://superbowl-ads.com/2009-bud-light-skier/,https://www.youtube.com/watch?v=LEVQAU_LITI
2014,Kia,FALSE,FALSE,TRUE,TRUE,FALSE,17209,198,2,https://superbowl-ads.com/2014-kia-the-truth/,https://www.youtube.com/watch?v=FTNMYoKHwvU
2014,Hynudai,TRUE,FALSE,TRUE,TRUE,FALSE,1874,20,0,https://superbowl-ads.com/2014-hyundai-elantra-nice/,https://www.youtube.com/watch?v=2jMWybAKjWw
2008,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,598260,755,54,https://superbowl-ads.com/2008-bud-light-wheel-suck/,https://www.youtube.com/watch?v=WX8Du9pusdA
2003,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,27378,18,2,https://superbowl-ads.com/2003-budweiser-great-listener/,https://www.youtube.com/watch?v=zx4SnN9HuRw
2013,Bud Light,TRUE,FALSE,TRUE,FALSE,FALSE,394,1,0,https://superbowl-ads.com/video-bud-light-2013-super-bowl-xlvii-ad-journey/,https://www.youtube.com/watch?v=leptS7k6sLE
2011,Doritos,TRUE,FALSE,FALSE,TRUE,TRUE,122388,561,8,https://superbowl-ads.com/2011-doritos-pug-attack/,https://www.youtube.com/watch?v=1A6frF5zfDE
2005,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,16997,69,3,https://superbowl-ads.com/2005-bud-light-skydiver/,https://www.youtube.com/watch?v=Y9wyIID8Khs
2014,Doritos,TRUE,FALSE,FALSE,FALSE,TRUE,7952240,18729,1430,https://superbowl-ads.com/2014-doritos-time-machine/,https://www.youtube.com/watch?v=Y-P0Hs0ADJY
2008,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,555734,414,58,https://superbowl-ads.com/2008-bud-light-wine-cheese-party/,https://www.youtube.com/watch?v=aEWtTVaIH0M
2012,Pepsi,FALSE,FALSE,TRUE,FALSE,FALSE,582575,1526,138,https://superbowl-ads.com/2012-pepsi-kings-court/,https://www.youtube.com/watch?v=3rZs8ZKTsp0
2012,Doritos,TRUE,FALSE,FALSE,TRUE,TRUE,86928,130,12,https://superbowl-ads.com/2012-doritos-mans-best-friend/,https://www.youtube.com/watch?v=kMmd0WaQFGE
2012,Toyota,TRUE,FALSE,FALSE,TRUE,TRUE,116294,1153,13,https://superbowl-ads.com/2012-toyota-camry-its-reinvented/,https://www.youtube.com/watch?v=oYdJKey7VpU
